model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Alfa Romeo Giulietta 1,4 M-Air 150 Sprin",169900,41000,2015,150,18,210,Benzin,1.300,1.265,Manue,5
"Alfa Romeo MiTo 1,4 M-Air 170 Quadrifoglio Verde",79900,120000,2011,170,17,219,Benzin,1.000,1.195,Manue,3
"Alfa Romeo Giulietta 1,4 TCT Sportiva",118000,106500,2013,170,,,Benzin,,,Automatis,
"Alfa Romeo Giulia 2,9 Quadrifoglio",297000,13747,2018,510,,,Benzin,,,Automatis,
"Alfa Romeo Stelvio 2,2 JTD 190 Sprint au",559900,6000,2021,190,21,210,Diese,1.600,1.635,Automatis,5
"Alfa Romeo GT 2,0 JTS Lusso",64800,233000,2005,165,12,216,Benzin,1.300,1.295,Manue,3
"Alfa Romeo Spider 3,0 V6",119500,209000,1997,192,9,225,Benzin,1.000,1.395,Manue,2
Alfa Romeo Giulietta TBi Quadrifoglio Verde,174900,95000,2012,235,13,242,Benzin,1.300,1.295,Manue,5
"Alfa Romeo 159 2,0 JTD Distinctive Sportwagon",79900,204000,2012,170,18,216,Diese,1.500,1.510,Manue,5
"Alfa Romeo Giulia 2,2 JTD 180 Super au",299900,61000,2018,180,26,230,Diese,1.600,1.420,Automatis,4
"Alfa Romeo Giulia 2,9 V6 Quadrifoglio",275000,13747,2018,510,,,Benzin,,,Automatis,
"Alfa Romeo Stelvio 2,0 T 200 Edizione aut. Q4",499800,22000,2018,200,14,215,Benzin,2.000,1.635,Automatis,5
"Alfa Romeo Giulietta 1,4 Turbo 120 Sportiva",98900,116000,2011,120,16,195,Benzin,1.300,1.255,Manue,5
"Alfa Romeo 164 3,0 V6",,198000,1992,201,,237,Benzin,,1.450,Manue,4
"Alfa Romeo GTV 2,0",79800,165030,1981,131,,,Benzin,,,Manue,
Alfa Romeo Giulietta TBi Quadrifoglio Verde,164900,93000,2011,235,13,242,Benzin,1.300,1.295,Manue,5
"Alfa Romeo 159 2,4 JTDm 210 Ti",49700,126000,2008,210,15,231,Diese,1.500,1.560,Manue,4
"Alfa Romeo Giulietta 1,4 Turbo 120 Distinctive",159900,67000,2015,120,16,195,Benzin,,1.280,Manue,5
"Alfa Romeo MiTo 0,9 TwinAir 85 Distinctive",69900,162000,2012,85,24,172,Benzin,500,1.105,Manue,3
"Alfa Romeo Giulia 2,2 JTD 180 au",369900,20000,2018,180,26,230,Diese,1.600,1.420,Automatis,4
"Alfa Romeo Giulietta 1,4 Turbo 120 Distinctive",104900,74000,2011,120,16,195,Benzin,1.300,1.255,Manue,5
"Alfa Romeo Giulietta 1,4 M-Air 170 Sportiva",159900,89000,2013,170,17,218,Benzin,1.300,1.265,Manue,5
"Alfa Romeo Giulietta 2,0 JTD 170 Veloce TCT",269800,14000,2019,170,22,,Diese,,1.920,Automatis,5
"Alfa Romeo Stelvio 2,2 JTD 190 Edizione au",449800,20000,2019,190,21,210,Diese,1.700,1.579,Automatis,5
"Alfa Romeo Giulietta 2,0 JTD 170 Veloce TCT",269800,9400,2019,170,22,,Diese,,1.920,Automatis,5
"Alfa Romeo Giulietta 2,0 JTD 170 Veloce TCT",249800,43000,2019,170,22,,Diese,,1.920,Automatis,5
"Alfa Romeo Giulia 2,2 JTD 150",269900,57000,2017,150,24,220,Diese,1.600,1.374,Manue,4
"Alfa Romeo 159 2,4 JTDm Sportwagon",49900,124000,2007,200,14,228,Diese,1.500,1.660,Manue,5
"Alfa Romeo MiTo 1,3",43000,188000,2012,85,,,Diese,,,Manue,
"Alfa Romeo Stelvio 2,0 T 200 Edizione aut. Q4",497900,14000,2019,200,14,215,Benzin,2.000,1.635,Automatis,5
"Alfa Romeo Giulietta 1,4 M-Air 170 Super TCT",184900,75000,2016,170,20,218,Benzin,1.300,1.280,Automatis,5
"Alfa Romeo Giulia 2,0 T 200 Super au",379900,14000,2019,200,17,235,Benzin,1.600,1.404,Automatis,4
Alfa Romeo Giulietta TBi Quadrifoglio Verde,169900,97000,2011,235,13,242,Benzin,1.300,1.295,Manue,5
"Alfa Romeo 147 1,6 TS 16V 120 Supe",22900,198000,2004,120,12,195,Benzin,1.300,1.200,Manue,3
"Alfa Romeo 159 2,4 JTD 20V",44900,180000,2007,200,15,228,Diese,1.500,1.625,Manue,4
"Alfa Romeo Giulia 2,0 Grand prix",,31000,2019,200,,,Benzin,,,Automatis,
"Alfa Romeo 146 1,6 110",10000,220090,1998,110,,,Benzin,,,Manue,
"Alfa Romeo Giulia 2,0 T 200 Super au",329900,64000,2018,200,17,230,Benzin,1.600,1.404,Automatis,4
"Alfa Romeo 159 2,4 JTD 20V",16900,322000,2006,200,15,228,Diese,1.500,1.625,Manue,4
"Alfa Romeo GT 2,0 JTS Lusso",85900,111000,2004,165,12,216,Benzin,1.300,1.295,Manue,3
"Alfa Romeo 159 2,4 JTD 20V  6",1234,1234,2011,200,,,Diese,,,Manue,
"Alfa Romeo GTV 2,5 6   2d",1234,1234,1987,160,,,Benzin,,,Manue,
"Alfa Romeo 146 1,4 T.Spark 16V  5d",1234,1234,2003,103,,,Benzin,,,Manue,
"Alfa Romeo 4C 1,7 Spider  Turbo TCT  Cabr. 6g Au",1234,1234,2013,240,,,Benzin,,,Automatis,
"Alfa Romeo Giulietta 1,4  5d",50000,50000,2015,170,,,Benzin,,,Manue,
"Alfa Romeo 159 3,2 V6 JTS Ti Sportwagon Q4",99700,109000,2006,260,9,237,Benzin,1.800,1.852,Manue,5
"Alfa Romeo Giulietta 1,4 QV M-Air Sportivo  5d 6",109900,170000,2011,170,17,,Benzin,,1.795,Manue,
"Alfa Romeo Giulietta 1,4 M-Air 170 Distinctive",149900,96000,2015,170,18,218,Benzin,1.300,1.290,Manue,5
"Alfa Romeo MiTo 1,3 JTD 95 Distinctive",49700,123000,2011,95,23,180,Diese,1.000,1.150,Manue,3
"Alfa Romeo Giulietta 1,4 M-Air 170 Sportiva",189900,33000,2016,170,18,218,Benzin,1.300,1.290,Manue,5
"Alfa Romeo Giulia 2,2 JTD 180 Super au",329900,49000,2018,180,26,230,Diese,1.600,1.420,Automatis,4
"Alfa Romeo Stelvio 2,2 JTD 150 au",344900,150000,2017,150,21,,Diese,1.700,1.579,Automatis,5
"Alfa Romeo MiTo 1,6 JTD 120 Distinctive",39900,229000,2009,120,21,198,Diese,500,1.180,Manue,3
Alfa Romeo 159 TBi Distinctive Sportwagon,89700,182000,2010,200,12,233,Benzin,1.500,1.455,Manue,5
"Alfa Romeo Giulietta 1,4 M-Air 170 Edizione TCT",259800,28000,2018,170,20,218,Benzin,1.300,1.280,,5
"Alfa Romeo Giulia 2,2 D Super  8g Au",244900,142400,2016,180,26,230,Diese,,2.020,Automatis,4
"Alfa Romeo Giulietta 2,0 JTD 175 Super TCT",219900,60000,2016,175,23,219,Diese,600,1.310,Automatis,5
"Alfa Romeo 2000 GTV 2,0 Bertone",,38000,1972,,,,Benzin,,,Manue,2
"Alfa Romeo 159 2,2 JTS Lusso",24400,207000,2006,185,11,224,Benzin,1.500,1.475,Manue,4
"Alfa Romeo GTV 2,0 JTS",99900,129000,2004,165,11,220,Benzin,950,1.350,,2
"Alfa Romeo 156 2,5 Berlina 2,5 V6",58000,190000,2000,192,,,Benzin,,,Manue,
"Alfa Romeo 156 2,0 JTS Sportwagon",14999,199000,2002,165,11,220,Benzin,1.300,1.300,Manue,5
"Alfa Romeo Giulietta 1,4 Turbo 120 Distinctive",89900,119000,2012,120,16,195,Benzin,1.300,1.255,Manue,5
"Alfa Romeo MiTo 1,3 JTD 90 Distinctive",49900,185000,2010,90,23,178,Diese,1.000,1.125,Manue,3
