model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
Citroën Grand C4 Picasso,129900,135000,2014,,25,,,,,,
Citroën C3,109900,23000,2018,82,22,177,Benzin,450,955,Manue,5
Citroën C3,104500,42000,2018,82,22,177,Benzin,450,955,Manue,5
Citroën C4 Cactus,109900,82000,2017,100,32,184,Diese,870,1.070,Manue,5
Citroën C3,134500,20000,2019,82,26,173,Benzin,450,1.097,Manue,5
Citroën C1,79500,28257,2018,68,26,157,Benzin,,860,Manue,5
Citroën C1,49000,86000,2014,68,23,157,Benzin,,805,Manue,5
Citroën C1,87500,31000,2019,72,29,160,Benzin,,949,Manue,5
Citroën C3,194900,7940,2020,110,21,188,Benzin,450,1.216,Automatis,5
Citroën C1,49000,60000,2014,68,23,157,Benzin,,805,Manue,5
Citroën C1,62900,89500,2017,82,23,170,Benzin,,865,Manue,5
Citroën C1,74900,36000,2016,82,23,170,Benzin,,865,Manue,5
Citroën C3 Aircross,174900,5500,2020,110,23,188,Benzin,840,1.234,Manue,5
Citroën C4,64900,149000,2012,92,24,180,Diese,1.350,1.180,Manue,5
Citroën C3 Aircross,163500,41000,2018,110,20,185,Benzin,840,1.134,Manue,5
Citroën C3,115000,14000,2020,82,26,173,Benzin,450,1.097,Manue,5
Citroën C1,114900,16442,2019,72,26,160,Benzin,,958,Automatis,5
Citroën C4 Cactus,144500,14300,2018,100,32,184,Diese,870,1.070,Manue,5
Citroën C3,180000,10000,2020,110,23,188,Benzin,450,1.216,Automatis,5
Citroën C3,85000,65000,2016,82,23,174,Benzin,800,1.140,Manue,5
Citroën C1,89500,6500,2018,72,26,160,Benzin,,915,Manue,5
Citroën ë-C4,322490,2,2021,136,68,150,other,,1.516,Automatis,5
Citroën ë-C4,322490,2,2021,136,68,150,other,,1.516,Automatis,5
Citroën C4 Picasso,104900,157000,2014,90,26,175,Diese,1.400,1.555,Automatis,5
Citroën C3,142500,34000,2018,110,22,188,Benzin,600,1.025,Manue,5
Citroën C3,157900,65700,2018,110,20,188,Benzin,600,1.176,Automatis,5
Citroën C5 Aircross,284900,15596,2019,130,28,188,Diese,1.450,1.544,Manue,5
Citroën C3 Aircross,164500,32000,2018,110,20,185,Benzin,840,1.134,Manue,5
Citroën Grand C4 Picasso,189700,82000,2017,130,20,201,Benzin,1.350,1.575,Manue,5
Citroën Grand C4 Picasso,179900,66260,2015,130,20,196,Benzin,1.350,1.575,Manue,5
Citroën Grand C4 SpaceToure,229500,63000,2018,120,25,189,Diese,1.500,1.322,Manue,5
Citroën C4 Picasso,159500,99000,2017,120,26,189,Diese,1.600,1.555,Manue,5
Citroën C4,359800,3000,2021,130,26,206,Diese,1.200,1.289,Automatis,5
Citroën C5 Aircross,259700,31000,2019,130,21,188,Benzin,1.350,1.379,Manue,5
Citroën C4 Cactus,159900,21472,2019,110,24,188,Benzin,950,1.005,Manue,5
Citroën C3 Aircross,149900,76000,2017,100,27,175,Diese,840,1.178,Manue,5
Citroën C3,99000,108000,2018,100,31,189,Diese,1.150,1.280,Manue,5
Citroën C4 Cactus,124500,53000,2017,100,32,184,Diese,870,1.070,Manue,5
Citroën Grand C4 SpaceToure,228500,30900,2019,130,21,201,Benzin,1.350,1.575,Manue,5
Citroën C3,174680,3000,2020,100,31,188,Diese,600,1.065,Manue,5
Citroën C4 Picasso,129900,117000,2014,115,25,189,Diese,1.600,1.555,Automatis,5
Citroën C4 Picasso,174500,62000,2017,120,26,189,Diese,1.600,1.555,Manue,5
Citroën C1,64900,67000,2016,68,26,157,Benzin,,860,Manue,5
Citroën B11,129800,99000,1949,,,,Benzin,,,Manue,
Citroën C4 Picasso,159900,101346,2015,120,26,188,Diese,,1.555,Automatis,5
Citroën C4 Cactus,154900,25000,2019,100,28,184,Diese,950,1.218,Manue,5
Citroën Jumper 33,359500,63905,2017,130,17,,Diese,,,Manue,4
Citroën C3,180000,2000,2020,100,34,188,Diese,600,1.065,Manue,5
Citroën C4,387990,1000,2021,130,26,206,Diese,1.200,1.289,Automatis,5
Citroën C1,110000,3000,2020,72,30,160,Benzin,,949,Manue,5
Citroën C1,110000,3000,2020,72,30,160,Benzin,,949,Manue,5
Citroën C3,180000,3000,2020,100,34,188,Diese,600,1.065,Manue,5
Citroën C5 Aircross,390000,675,2020,225,39,235,Benzin,1.300,1.755,Automatis,5
Citroën C3,180490,2,2020,100,34,188,Diese,600,1.065,Manue,5
Citroën C3,177590,1000,2020,100,34,188,Diese,600,1.065,Manue,5
Citroën C4,149900,75000,2017,120,26,192,Diese,1.450,1.275,Automatis,5
Citroën Jumper 33,379900,68944,2016,130,,,Diese,2.000,3.300,Manue,
Citroën C3,139900,6000,2020,83,26,166,Benzin,450,955,Manue,5
Citroën C5 Aircross,348000,0,2020,130,27,188,Diese,1.450,1.379,Manue,5
Citroën C3,135000,6000,2020,82,26,173,Benzin,450,1.097,Manue,5
Citroën Jumper 33,379900,68000,2016,130,,,Diese,2.000,3.300,Manue,
"Citroën C5 2,0 HDi Elegance Weekend",21500,370000,2008,138,17,200,Diese,1.400,1.525,Manue,5
"Citroën C3 1,6 BlueHDi 100 Seduction Upgrade",74800,115000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C4 1,6 BlueHDi 120 Feel Complet EAT6",119800,163000,2016,120,27,192,Diese,1.450,1.275,Automatis,5
"Citroën C3 1,4 HDi Seduction",32900,153000,2011,70,25,162,Diese,700,1.050,Manue,5
"Citroën C3 1,2 VTi 82 Seduction",44900,106000,2013,82,22,174,Benzin,800,950,Manue,5
"Citroën C4 Cactus 1,2 PureTech 82 Fee",99800,52000,2015,82,22,167,Benzin,720,965,,5
"Citroën C4 1,2 PureTech 130 Feel EAT6",134900,73000,2015,130,20,197,Benzin,1.550,1.410,Automatis,5
"Citroën Grand C4 SpaceTourer 1,5 Blue HDi Intensive+ EAT8 start/stop 130HK 8g Au",249700,60000,2019,130,28,,Diese,,,,5
"Citroën Grand C4 SpaceTourer 1,2 PureTech Iconic start/stop 130HK 6",229900,26000,2019,130,21,,Benzin,,,,
"Citroën C3 1,6 BlueHDi 100 Seduction Upgrade",63500,148000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C1 1,2 PureTech 82 Spo",51180,126000,2016,82,23,170,Benzin,,865,Manue,5
Citroën C3,194900,7940,2020,110,21,188,Benzin,450,1.216,Automatis,5
