model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
Mercedes A250 e,378880,7000,2020,218,36,235,Benzin,1.600,1.680,Automatis,5
Mercedes E300 e,549900,3000,2021,320,31,250,Benzin,2.100,1.990,Automatis,4
Mercedes E300 de,629900,8000,2021,306,34,250,Diese,2.100,2.060,Automatis,4
Mercedes C300 de,499900,14000,2020,306,32,250,Diese,1.800,1.895,Automatis,4
Mercedes GLA250 e,449800,4000,2020,,33,220,other,,,,
Mercedes E300 de,629800,5000,2020,,31,250,other,,,,
Mercedes E300 de,629900,17000,2021,306,31,250,Diese,2.100,2.145,Automatis,5
Mercedes B180,146000,81000,2013,109,22,190,Diese,1.200,1.475,Manue,5
Mercedes GLC300 de,769900,8000,2021,306,30,230,Diese,2.000,2.135,Automatis,5
Mercedes E300 de,529800,24000,2019,,31,250,other,,,,
Mercedes C220 d,459900,33000,2020,194,24,233,Diese,1.800,1.545,Automatis,5
Mercedes E220 d,389900,67000,2017,194,25,240,Diese,2.100,1.680,Automatis,4
Mercedes S500,899900,81000,2015,455,10,250,Benzin,,1.890,Automatis,2
Mercedes E300 de,569990,17000,2020,306,34,250,Diese,2.100,2.060,Automatis,4
Mercedes V300 d,889900,12000,2019,,,220,Diese,,2.389,,
Mercedes GLC300 de,699800,13000,2020,,30,230,other,,,,
Mercedes GLA250 e,489800,6000,2020,,33,220,other,,,,
Mercedes C220 d,374900,48000,2019,194,24,240,Diese,1.800,1.485,Automatis,4
Mercedes C220 d,379900,108000,2019,194,23,233,Diese,1.800,1.545,Automatis,5
Mercedes E300 de,499800,58000,2019,,28,250,other,,,,
Mercedes GLA250 e,469800,14000,2020,,33,220,other,,,,
Mercedes E300 e,499800,18000,2019,,30,250,other,,,,
Mercedes CLA250 e,479800,8000,2020,,36,235,other,,,,
Mercedes CLA250 e,469800,5000,2020,,36,235,other,,,,
Mercedes A220,389900,29000,2019,190,19,235,Benzin,1.800,1.405,Automatis,5
Mercedes CLA250 e,459800,7000,2020,,36,240,other,,,,
Mercedes E300 de,549990,7000,2020,306,31,250,Diese,2.100,2.145,Automatis,5
Mercedes E300 de,559990,2000,2020,306,31,250,Diese,2.100,2.145,Automatis,5
Mercedes E300 e,529900,18000,2019,320,28,280,Benzin,2.100,1.985,Automatis,4
Mercedes C220 d,259900,154000,2017,,23,,,,,,
Mercedes B250 e,399800,7000,2020,,36,235,other,,,,
Mercedes B250 e,399800,8000,2020,,36,235,other,,,,
Mercedes B250 e,439800,8000,2020,,36,235,other,,,,
Mercedes GLC250 d,649900,60000,2018,204,20,222,Diese,2.500,1.845,Automatis,5
Mercedes C43,889800,13000,2018,,12,250,Benzin,,,,
Mercedes CLA250 e,469800,4000,2020,,36,235,other,,,,
Mercedes CLA250 e,469800,3000,2020,,36,235,other,,,,
Mercedes A250 e,379990,7000,2020,218,36,235,Benzin,1.600,1.680,Automatis,5
Mercedes C300 de,479990,13000,2020,306,32,250,Diese,1.800,1.955,Automatis,5
Mercedes C200,649900,13000,2019,184,16,235,Benzin,1.600,1.545,Automatis,2
Mercedes V300 d,769900,29000,2019,239,19,220,Diese,2.500,3.100,Automatis,
Mercedes GL63,899900,98000,2012,557,8,250,Benzin,3.250,2.480,Automatis,5
Mercedes CLA250 e,469800,6000,2020,,36,235,other,,,,
Mercedes GLB200 d,499900,20000,2020,150,22,204,Diese,1.800,1.680,Automatis,5
Mercedes C250 d,284900,109000,2016,204,23,247,Diese,1.800,1.595,Automatis,4
Mercedes CLA250 e,469800,4000,2020,,36,235,other,,,,
Mercedes CLA250 e,499800,4000,2020,,36,235,other,,,,
Mercedes C43,699900,53000,2018,367,12,250,Benzin,1.800,1.735,Automatis,5
Mercedes B220,259900,46000,2015,177,24,224,Diese,1.500,1.505,Automatis,5
Mercedes C63,799900,58000,2016,510,12,250,Benzin,,1.800,Automatis,4
Mercedes EQV300,679800,7000,2020,,38,160,other,,,,
Mercedes B250 e,399900,8000,2021,218,36,235,Benzin,1.600,1.725,Automatis,5
Mercedes E400,699900,45000,2017,333,12,250,Benzin,1.800,1.555,Automatis,2
Mercedes A45,419900,118000,2014,360,14,250,Benzin,1.400,1.555,Automatis,5
Mercedes E350 d,259900,207540,2014,252,18,,Diese,,,,4
Mercedes C300 e,459800,20000,2020,,33,250,other,,,,
Mercedes A250 e,359800,3000,2020,,37,235,other,,,,
Mercedes GLE63,1199900,82000,2017,585,8,250,Benzin,3.500,2.250,Automatis,5
Mercedes A250 e,399800,8000,2020,,36,235,other,,,,
Mercedes C220 d,299900,101000,2018,170,23,229,Diese,1.800,1.515,Automatis,5
Mercedes C220 d,309900,79000,2017,170,23,229,Diese,1.800,1.515,Automatis,5
Mercedes C220 d,299900,98000,2018,170,23,229,Diese,1.800,1.515,Automatis,5
Mercedes C220 d,299900,97000,2017,170,23,231,Diese,1.800,1.615,Automatis,5
Mercedes E300 de,639900,14000,2021,306,31,250,Diese,2.100,2.145,Automatis,5
Mercedes C220 d,259900,165000,2016,,23,,,,,,
Mercedes C200,499800,81000,2018,184,16,233,Benzin,1.800,1.565,Automatis,2
Mercedes GLE350 d,569900,145000,2016,258,15,225,Diese,2.950,2.175,Automatis,5
Mercedes C300 de,469900,28000,2020,306,32,250,Diese,1.800,1.955,Automatis,5
Mercedes C43,869900,32000,2019,390,10,250,Benzin,1.000,1.750,Automatis,2
Mercedes GL350,859900,57000,2015,258,13,220,Diese,3.500,2.355,Automatis,5
Mercedes E300 de,544990,9000,2020,306,32,250,Diese,2.100,2.145,Automatis,5
Mercedes B180 d,244900,42000,2017,109,24,190,Diese,1.200,1.450,Automatis,5
Mercedes A250 e,429800,8000,2020,,36,240,other,,,,
Mercedes E200,319900,87000,2015,184,17,240,Benzin,1.800,1.515,Automatis,2
Mercedes GLS63,1599900,53000,2017,585,8,250,Benzin,3.290,2.580,Automatis,5
Mercedes A35,599900,15000,2019,306,15,250,Benzin,1.800,1.455,Automatis,5
Mercedes E43,759900,70000,2017,401,12,250,Benzin,2.100,1.840,Automatis,4
Mercedes CLA220,449900,31000,2019,190,14,237,Benzin,1.800,1.454,Automatis,4
Mercedes E200,739800,12000,2017,,16,234,Benzin,,,,
Mercedes C300 e,499900,12000,2020,320,33,250,Benzin,1.800,1.870,Automatis,5
Mercedes E300 de,559900,19000,2019,306,27,250,Diese,2.100,2.040,Automatis,5
Mercedes C220 d,319900,50000,2018,170,23,229,Diese,1.800,1.515,Automatis,5
Mercedes GLC43,829900,67000,2018,367,12,250,Benzin,2.460,1.845,Automatis,5
Mercedes CLS350 d,449900,165000,2016,258,16,247,Diese,2.100,1.995,Automatis,5
Mercedes C200 d,269900,55000,2017,136,22,214,Diese,1.600,1.545,Manue,5
Mercedes S560,1429900,51000,2018,469,11,250,Benzin,2.100,2.100,Automatis,4
Mercedes V250 d,799900,7000,2020,190,19,205,Diese,2.500,3.100,Automatis,
Mercedes C220 d,419900,36000,2019,194,23,233,Diese,1.800,1.545,Automatis,5
Mercedes GLC350 e,679900,52000,2018,320,25,235,Benzin,2.000,2.040,Automatis,5
Mercedes GLE63,1499900,40000,2017,585,8,250,Benzin,3.500,2.250,Automatis,5
Mercedes AMG GT 63 S,2399900,40000,2019,639,9,315,Benzin,2.100,1.920,Automatis,4
Mercedes GLE63,1399900,59000,2017,557,8,250,Benzin,3.500,2.350,Automatis,5
Mercedes EQC400,579900,4000,2020,408,48,180,other,1.800,2.395,Automatis,5
Mercedes GLC43,829900,63000,2017,367,12,250,Benzin,2.460,1.855,Automatis,5
Mercedes A200,209900,89000,2013,136,23,210,Diese,1.400,1.375,Automatis,5
Mercedes C220 d,299900,93000,2015,170,22,229,Diese,1.800,1.515,Automatis,5
Mercedes C220 d,374000,93000,2015,170,,,Diese,,,Automatis,
Mercedes C200,269900,91000,2015,136,23,212,Diese,1.600,1.580,Automatis,5
Mercedes C200,382990,22000,2019,184,17,235,Benzin,1.800,1.465,Automatis,5
Mercedes C300,469880,17000,2019,258,17,239,Benzin,1.800,1.465,Automatis,5
Mercedes CLS350 d,619900,33000,2017,258,16,247,Diese,2.100,1.995,Automatis,5
"Mercedes E200 2,2 CDi aut. BE",99900,418000,2011,136,20,207,Diese,1.900,1.635,Automatis,4
"Mercedes C220 d 2,0 Advantage stc. au",374900,41000,2019,194,23,233,Diese,1.800,1.545,Automatis,5
"Mercedes CLA200 d 2,2 Urban Shooting Brake au",289800,72000,2016,136,24,215,Diese,1.500,1.555,Automatis,5
"Mercedes C220 d 2,2 AMG Line stc. au",364800,99000,2017,170,21,231,Diese,1.800,1.615,Automatis,5
"Mercedes C220 d 2,2 Avantgarde au",309800,132000,2015,170,23,233,Diese,1.800,1.470,Automatis,4
"Mercedes C220 d 2,2 au",309800,122000,2017,170,21,235,Diese,1.800,1.570,Automatis,4
"Mercedes GLC220 d 2,1 D AMG Line 4-Matic 9G-Tronic 170HK 5d 9g Au",409900,75000,2017,170,17,,Diese,,,Automatis,5
"Mercedes C200 2,2",118500,338200,2011,136,,,Diese,,,Automatis,
"Mercedes CLA200 d 2,2 Urban Shooting Brake au",249900,114000,2016,136,24,215,Diese,1.500,1.555,Automatis,5
"Mercedes C220 2,2 CDi stc. BE",169900,171000,2013,170,21,219,Diese,1.800,1.555,Manue,5
"Mercedes C200 2,0 AMG Line Coupé au",369900,104000,2016,184,18,235,Benzin,1.800,1.525,Automatis,2
"Mercedes C200 2,0 AMG Line au",299900,110000,2015,184,18,235,Benzin,1.600,1.465,Automatis,4
Mercedes B180,146000,81000,2013,109,22,190,Diese,1.200,1.475,Manue,5
"Mercedes GLA200 1,6 au",349900,45000,2018,156,18,215,Benzin,1.400,1.435,Automatis,5
"Mercedes ML320 3,0 CDi AMG Line aut. 4Matic",149900,321000,2008,224,10,215,Diese,3.500,2.075,Automatis,5
"Mercedes A200 1,3 AMG Line au",379900,6000,2020,163,21,225,Benzin,1.600,1.375,Automatis,5
"Mercedes C200 d 2,2 au",299995,99000,2018,136,23,216,Diese,1.600,1.505,Automatis,4
"Mercedes C200 2,2 CDi Avantgarde stc. aut. BE",104900,359000,2014,136,20,207,Diese,1.800,1.545,Automatis,5
Mercedes GLC300 de,769900,8000,2021,306,30,230,Diese,2.000,2.135,Automatis,5
"Mercedes B200 1,8 CDi aut. BE",99900,350000,2012,136,22,210,Diese,1.400,1.405,Automatis,5
"Mercedes E220 d 2,0 Avantgarde au",429800,55000,2016,194,26,240,Diese,2.100,1.680,Automatis,4
"Mercedes E220 d 2,0 Avantgarde au",379800,117000,2017,194,25,240,Diese,2.100,1.680,Automatis,4
"Mercedes S500 4,7 Cabriolet au",1200000,38000,2017,455,12,250,Benzin,,2.115,Automatis,2
"Mercedes C220 d 2,2 Avantgarde stc. au",275000,140000,2015,170,23,229,Diese,1.800,1.515,Automatis,5
"Mercedes A200 1,3 Progressive Premium au",309900,66000,2019,163,,225,Benzin,1.600,1.375,Automatis,5
"Mercedes CLS350 d 3,0 AMG Line au",559000,118000,2015,258,18,,Diese,,,Automatis,4
"Mercedes E220 d 2,0 AMG Line stc. au",484875,67000,2018,194,22,235,Diese,2.100,1.680,Automatis,5
"Mercedes GLC250 d 2,2 D 9G-TRONIC 4MATIC",134000,147622,2017,204,,,Diese,,,Automatis,
"Mercedes E350 3,0 BlueTEC Avantgarde stc. au",264900,226000,2014,252,17,245,Diese,2.100,1.855,Automatis,5
"Mercedes E220 2,2 CDi Avantgarde au",199800,345000,2014,170,21,227,Diese,2.000,1.635,Automatis,4
"Mercedes C200 2,2 CDi stc. aut. BE",98000,209000,2010,136,17,207,Diese,1.800,1.550,Automatis,5
"Mercedes C200 d 2,2 T D 7G-TRONIC PLUS",75000,124775,2016,136,,,Diese,,,Automatis,
"Mercedes A200 d 2,2 AMG Line au",249900,104000,2018,136,25,210,Diese,1.500,1.385,Automatis,5
"Mercedes C220 d 2,2 BLUETEC 7G-TRONIC PLUS",82000,127783,2015,163,,,Diese,,,Automatis,
"Mercedes A160 2,0 CDi BE",19900,395000,2011,82,22,170,Diese,,1.225,Manue,5
"Mercedes CLA220 d 2,2 AMG Line Shooting Brake au",309900,91000,2016,177,24,228,Diese,1.500,1.555,Automatis,5
"Mercedes GLC220 d 2,2 9G-TRONIC 4MATIC",127000,109781,2017,170,,,Diese,,,Automatis,
"Mercedes B180 1,5 CDi",129000,125000,2014,109,24,190,Diese,1.200,1.395,Manue,5
"Mercedes GLE250 d 2,2 9G-TRONIC 4MATIC",163500,70581,2016,204,,,Diese,,,Automatis,
"Mercedes E220 2,2 BlueTEC Avantgarde au",199700,379000,2016,170,22,227,Diese,2.000,1.660,Automatis,4
"Mercedes C180 1,6 stc. BE",179900,45000,2013,156,17,218,Benzin,1.800,1.405,Manue,5
"Mercedes E350 3,5 CGi Avantgarde aut. BE",174900,277000,2009,292,12,250,Benzin,2.000,1.635,Automatis,4
"Mercedes C220 2,2 CDi Avantgarde au",129900,147000,2007,170,15,227,Diese,1.800,1.505,Automatis,4
"Mercedes CLA200 d 2,2 Urban Shooting Brake au",224900,160000,2016,136,24,215,Diese,1.500,1.555,Automatis,5
"Mercedes Vito 111 Lang 1,6 CDI 114HK Van
                D",144900,62000,2017,,16,,Diese,,,Manue,
"Mercedes Vito 111 Lang 1,6 CDI 114HK Van
                D",134900,81000,2017,,16,,Diese,,,Manue,
Mercedes E300 de,529800,24000,2019,,31,250,other,,,,
"Mercedes CLA180 1,6",189900,68000,2014,122,18,210,Benzin,1.200,1.295,Manue,4
